"gene","log2FC_LP","padj_LP","padj_manual_LP","log2FC_ML","padj_ML","padj_manual_ML"
"214531",5.43594973072855,2.25970317123874e-90,2.25970317123874e-90,5.62545341045248,6.37023053097213e-97,6.37023053097213e-97
"54648",2.83163411825951,7.49810740927269e-90,7.49810740927269e-90,2.77220554367346,2.23307753166012e-86,2.23307753166012e-86
"93706",-3.47552750700377,8.09851048873728e-90,8.09851048873728e-90,-2.65819483148587,8.01059541242363e-55,8.01059541242363e-55
"12739",5.14639186857814,2.08470182015622e-89,2.08470182015622e-89,5.0123114278386,5.7836287589594e-85,5.7836287589594e-85
"11468",-7.57346876714916,2.31067635092149e-88,2.31067635092149e-88,-8.83118036864185,2.54657416884757e-107,2.54657416884757e-107
"246228",-5.375636001627,5.67285921510491e-88,5.67285921510491e-88,-6.28339045219166,5.10381414472513e-117,5.10381414472513e-117
"108096",6.88278099551554,2.23928740039195e-87,2.23928740039195e-87,5.17757767444256,5.70636136437419e-50,5.70636136437419e-50
"16691",3.52111493471092,3.33145057430455e-87,3.33145057430455e-87,3.60769802712796,5.37669011940097e-91,5.37669011940097e-91
"108927",-4.49692344873307,9.04607769834366e-87,9.04607769834366e-87,-5.78956721389129,2.29969753868861e-137,2.29969753868861e-137
"13867",3.98561675673022,1.09910337691923e-86,1.09910337691923e-86,4.60014486838483,2.84468132293581e-115,2.84468132293581e-115
"14555",4.37919969162483,2.86215026973378e-86,2.86215026973378e-86,3.79215742059692,3.7645232358709e-65,3.7645232358709e-65
"56219",5.51137093265058,2.8832908945814e-86,2.8832908945814e-86,4.04893951638002,2.8191357752644e-47,2.8191357752644e-47
"21345",-6.19708756037751,5.17297067521087e-86,5.17297067521087e-86,-6.75959100782729,4.58685915709698e-102,4.58685915709698e-102
"71729",-3.50663144626608,5.75918013418157e-86,5.75918013418157e-86,-2.60942052674981,1.69851444793732e-50,1.69851444793732e-50
"100503884",4.07014631569329,6.62821306376329e-86,6.62821306376329e-86,3.81729159261184,5.22572488826824e-76,5.22572488826824e-76
"66412",3.42910115246846,1.59340395849504e-85,1.59340395849504e-85,1.7428204100196,4.01580869603838e-23,4.01580869603838e-23
"270190",-7.1554281627511,2.47145100172358e-85,2.47145100172358e-85,-7.46770625975719,1.7887786693277e-95,1.7887786693277e-95
"83965",2.28585502411925,4.49001595107696e-85,4.49001595107696e-85,2.35505743195187,7.88545495597385e-91,7.88545495597385e-91
"67729",3.89694400486223,1.65642540151796e-84,1.65642540151796e-84,3.8834784377164,3.52513755318793e-84,3.52513755318793e-84
"18400",5.17810672462927,1.45283709280136e-83,1.45283709280136e-83,6.05766005593902,1.0448287190365e-115,1.0448287190365e-115
"13717",-4.87956142828301,2.02500781542772e-83,2.02500781542772e-83,-6.26924441231946,1.39325424545067e-134,1.39325424545067e-134
"70178",3.92585226738348,2.17360407553725e-83,2.17360407553725e-83,3.90296948490462,1.23973066133495e-82,1.23973066133495e-82
"11302",-5.55937805008402,3.72521965189411e-83,3.72521965189411e-83,-6.07834113927836,8.09664728990647e-96,8.09664728990647e-96
"94179",-5.44972565339838,3.92964086340025e-83,3.92964086340025e-83,-5.36717445687634,9.82038152698725e-84,9.82038152698725e-84
"11931",4.35523106492326,5.63780339700086e-83,5.63780339700086e-83,4.05651405055322,2.54427255639112e-72,2.54427255639112e-72
"14766",-2.57495141038689,7.26416034017775e-83,7.26416034017775e-83,-2.24049890229894,9.46734164912107e-64,9.46734164912107e-64
"20970",-4.88314174667419,1.10037774353423e-81,1.10037774353423e-81,-4.93067326940522,4.12317627746022e-84,4.12317627746022e-84
"14042",-2.44620141392814,1.20478336718675e-81,1.20478336718675e-81,-2.67869479240303,7.46745594179408e-98,7.46745594179408e-98
"11830",5.45917507961373,1.98432651445122e-81,1.98432651445122e-81,6.55499522735932,5.65431551270854e-117,5.65431551270854e-117
"22351",4.96284476318252,3.16191441852901e-81,3.16191441852901e-81,6.48712240667846,3.26872666259142e-138,3.26872666259142e-138
"18131",3.55950866473188,3.41632052544167e-81,3.41632052544167e-81,3.82225477257258,1.48864636393317e-93,1.48864636393317e-93
"94214",-5.34119793429246,1.27929542723355e-80,1.27929542723355e-80,-6.06333988948672,1.74392828356699e-100,1.74392828356699e-100
"20277",5.93168688569076,1.31410018373815e-80,1.31410018373815e-80,4.26612892451511,1.4919648682771e-42,1.4919648682771e-42
"21814",-3.82921681748535,1.71813399604532e-80,1.71813399604532e-80,-5.17051643569858,4.41812257627072e-143,4.41812257627072e-143
"17005",5.1006099414966,5.57678062156672e-80,5.57678062156672e-80,4.46791201331358,1.49491929722116e-61,1.49491929722116e-61
"12095",6.7428720784263,7.67880739474788e-80,7.67880739474788e-80,4.27921817966646,5.97545699503677e-33,5.97545699503677e-33
"209195",6.79579447032593,8.32715806969525e-80,8.32715806969525e-80,3.97336492095836,2.45049987392534e-28,2.45049987392534e-28
"245827",-5.06602628369847,1.61500549713295e-79,1.61500549713295e-79,-4.78052852841094,1.46923148281594e-72,1.46923148281594e-72
"22239",6.82543835096931,2.3418279070031e-79,2.3418279070031e-79,4.58302018438102,2.96281356937923e-36,2.96281356937923e-36
"16400",-2.55936220045245,5.44024145740207e-79,5.44024145740207e-79,-1.67225440672516,1.17504857521312e-34,1.17504857521312e-34
"14221",-4.58527386363541,1.19028627215899e-78,1.19028627215899e-78,-4.42704959688041,2.33799245337507e-80,2.33799245337507e-80
"24058",3.47720715908112,1.53846015402153e-78,1.53846015402153e-78,3.64131966764494,8.56123869220236e-87,8.56123869220236e-87
