"","GSM1545538","GSM1545539","GSM1545542","GSM1545535","GSM1545541","GSM1545545","GSM1545536","GSM1545540","GSM1545544"
"71877",7.7036472809532,8.02373055498848,7.95571447015292,6.92687257296045,7.10597478293638,7.26315236453008,7.22013322951882,7.25284023630914,7.33577661557358
"170829",8.24754299270957,8.54500943966229,8.33273135004701,8.62870411605886,8.22514298756282,8.58575785087654,7.83356558645414,7.90443824217936,7.5967414575703
"75712",7.50443764673245,7.77916377219902,7.505378537513,6.90808574302054,6.85107016021612,6.86287324725749,7.40470297630247,7.39248328701798,7.22961391472982
"14859",5.80542963282951,5.7771572108086,5.80254299219395,6.14305169008027,5.89825348591974,6.05959395591851,5.92769705487953,5.85862674526214,6.10653028505596
"226922",10.7586082980778,11.0204552661333,11.041536872798,5.7103726180158,6.35453944514575,5.98861726052386,5.65803126204762,5.85862674526214,6.05116213792249
"116837",6.23480503962678,6.07813687077484,6.06071222421457,5.50619634745793,5.42981420814649,5.71138031963065,5.22521032850415,5.22521032850415,5.22521032850415
"70155",9.66114862074057,9.6278135823272,9.35971508627023,12.9254968346843,12.7906594580722,12.9837179539617,10.4961031766102,11.3060744691154,10.1941771744114
"280645",7.57597492487121,7.00986704398003,8.1253602484553,7.99894551452384,7.89322597085267,8.14016733739431,7.58419396386606,7.23159447155758,7.9926780309326
"98366",10.6092077924554,10.8150753569244,10.7839651854362,9.86583858582239,10.2337133268107,10.1510972498492,9.99731827014496,10.2599081560484,10.2613650896266
"68002",8.17681572666223,8.27705253761957,7.70921696713091,7.29462280768608,7.45412844017523,7.86992145023903,8.57777719639648,8.41264308686988,8.60657973472129
"68187",10.954189557351,10.5566435733533,11.2397591785857,10.4009038132822,10.6087716459311,10.5931767361449,10.3710216543298,10.2666724565116,10.7122247205538
"12839",11.4994502403019,10.9511587295316,11.3941989436745,12.6284487976149,12.6956842193768,12.2100532239623,10.2911853967104,11.3105416342755,9.6474743103109
"68421",10.9205927112994,11.3651962549736,11.2049279949969,12.0472388768736,12.1824631465521,11.8650199766008,11.6385775064599,11.8208431427887,11.6643246854985
"665903",8.86731511305609,8.48828232052814,8.21428211611082,7.55747771391023,7.45412844017523,7.46125359755141,7.77347095029112,7.56920522451738,7.55427027137301
"213109",12.2792809827176,12.2056775201078,12.4442554483452,12.8801809970007,12.8872483083759,12.9152888406345,12.5908307140151,12.7111824268638,12.8564699113065
"19243",11.5899377625168,11.6070532856892,11.7658371995221,11.9007822686902,12.2257830747851,11.5707139326933,11.0995000602876,11.3460795024425,11.3157512462972
"624262",6.08328726509946,6.27231335684824,5.98523669533003,5.96177911239345,6.00864057465176,6.05959395591851,5.83505898256763,5.99795911386149,5.77009311209591
