"gene","log2FoldChange","lfcSE","pvalue","padj","padj_manual"
"72433",-0.144015666600909,0.333835093439945,0.647032332778523,0.719263245516408,0.719263245516408
"19047",-0.119501417792013,0.271953389802069,0.647076075669549,0.71926350150075,0.71926350150075
"72795",0.120725434127325,0.260059303457274,0.647267133476854,0.719427495721651,0.719427495721651
"639606",-0.211218176875566,0.551230212427088,0.64733023869108,0.719449260106472,0.719449260106472
"100124438",0.204172222306672,0.515833116061638,0.647428499258622,0.719510090946956,0.719510090946956
"66225",-0.17969386086723,0.437725800661569,0.647838483495753,0.719917319810743,0.719917319810743
"100504674",-0.155226059104642,0.367465490649179,0.647894651565441,0.719931338422744,0.719931338422744
"80982",-0.155583792075567,0.365513825373961,0.647993376591334,0.719992640657038,0.719992640657038
"68572",-0.0760562316285487,0.169685706816524,0.648076409045811,0.720036499632158,0.720036499632158
"26905",0.0978215489817674,0.21704092147437,0.64860230121048,0.720572352914123,0.720572352914123
"19224",-0.136581273194131,0.31832147327087,0.648902998489167,0.72080752646753,0.72080752646753
"56306",0.142915325542647,0.329505244038993,0.648898189676857,0.72080752646753,0.72080752646753
"102141",-0.0709184267384978,0.158253778353674,0.648944803925577,0.72080752646753,0.72080752646753
"234358",0.138147859298291,0.318181202784998,0.649215060253773,0.721059258616869,0.721059258616869
"226654",-0.221291171617003,0.59258857633495,0.649293963046619,0.721098441894693,0.721098441894693
"72960",-0.0750499752409969,0.175202415240899,0.649399402381671,0.721167089107761,0.721167089107761
"621961",0.100164177989921,0.222312108662219,0.649494281861963,0.721224001019632,0.721224001019632
"56207",0.0702794490281876,0.155734058623131,0.649601855951044,0.721246552852684,0.721246552852684
"30934",0.0505691930401162,0.111349390879883,0.649571691845136,0.721246552852684,0.721246552852684
"69232",0.0707665531234453,0.15677091299677,0.649884167109761,0.721511537532699,0.721511537532699
"76497",-0.0632052195247817,0.13980181013209,0.650063049207672,0.721661665775877,0.721661665775877
"100039139",-0.206970828420365,0.54050116576156,0.650221664036343,0.721789275839148,0.721789275839148
"22160",-0.209903378075464,0.556006262266897,0.650445304624711,0.721989046833634,0.721989046833634
"67188",0.163066599176823,0.390116392569386,0.65063998711541,0.722156649903829,0.722156649903829
"93687",0.062485886635243,0.142464069970572,0.650737668154105,0.722216574096103,0.722216574096103
