"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"14381",3987.42917312492,0.756279143397173,0.172613804293664,8.69205886317026e-06,2.87244568189133e-05
"78286",6646.98567790737,-0.835016384628391,0.191830340432869,8.70974101008214e-06,2.87771374968335e-05
"100503392",572.386326415796,1.42368158334175,0.337200349597996,8.78918222055354e-06,2.90338093736511e-05
"242805",7.50543764825762,-6.86019428276534,2.77932097688062,8.79905710940796e-06,2.90606221815212e-05
"16939",29.9347891947901,-2.42297885115193,0.604162803690842,8.8452421772681e-06,2.92073218518261e-05
"68267",671.449205057482,-0.676889610051692,0.154426495099975,8.85202802714585e-06,2.92238912100501e-05
"103768",101.037428355411,-1.55040605206215,0.374451658594087,8.85626466115264e-06,2.92320397062406e-05
"235497",1634.45934651976,0.863500223464787,0.198569688754116,8.87120948940122e-06,2.92755226312242e-05
"74476",270.659168404386,1.56542760381907,0.375386190770825,8.92076036526186e-06,2.94331674326903e-05
"245944",3105.56789487013,0.621462700999242,0.141016092579665,8.93643044198526e-06,2.94789852736013e-05
"77264",2123.6257656999,-0.883447336943783,0.203502323325879,8.98522344236581e-06,2.9634027035576e-05
"83675",203.554678852406,-1.65824305086162,0.398988044230157,9.00018958144411e-06,2.96774653463537e-05
"56690",296.46788048234,1.11002229258934,0.259080882982109,9.00457459453654e-06,2.96860028016931e-05
"238673",744.681648243003,-0.908092694481401,0.209530200520858,9.02004937817981e-06,2.97310899743394e-05
"72392",515.655571796552,-0.581721007988071,0.132417584676949,9.05359449919059e-06,2.98357091450599e-05
"208967",342.177668832316,1.44920216822485,0.3456441726073,9.09989840817442e-06,2.99823242350255e-05
"57896",1763.01337528836,0.609522078380776,0.138607264754063,9.15602728816639e-06,3.01612457300499e-05
"215632",542.466643113732,1.07476055659573,0.250505173917053,9.16463902113771e-06,3.0183598927955e-05
"13655",4201.95318733288,-1.7756094164131,0.432544487444592,9.21069277486171e-06,3.03292333801721e-05
"74577",370.16671345851,-0.784366581884214,0.17975954744438,9.24582673090916e-06,3.04388599605514e-05
"100034726",6533.2045262975,0.517128955233198,0.11737285331058,9.27890151285956e-06,3.05416650751829e-05
"71665",3418.08022899818,0.600855920059743,0.136878266904027,9.32989444523713e-06,3.07033954170356e-05
"229584",3307.89628309373,0.610429713522704,0.13875236145017,9.41296852262449e-06,3.0970614983874e-05
"21938",716.970286554384,1.45506089649086,0.348656946336164,9.55249676498235e-06,3.14234371194345e-05
"231130",2753.56456990732,0.969947148287757,0.22557140795964,9.59067028074735e-06,3.15427337327405e-05
"66691",5891.15253293262,0.571586059141827,0.129738545858015,9.65218427944594e-06,3.17387320746452e-05
"66251",1667.95475193693,0.772059728719692,0.177425103563397,9.71984428541403e-06,3.19548580027633e-05
"27426",433.676129490994,-0.861654211192012,0.198748602847853,9.75514488561983e-06,3.20645346906534e-05
"56456",1994.02509610043,-0.700084363983136,0.161284871888953,9.76773041863772e-06,3.20995196461395e-05
"66641",949.797929608847,-0.557358659637526,0.127012817396628,9.79795737293171e-06,3.21924538609742e-05
"320560",484.260239155161,-1.36396427398401,0.324647525445496,9.81001782761937e-06,3.22256746205382e-05
"12609",10664.3262529746,1.32070561573438,0.315260561657839,9.84570664304931e-06,3.23364853585546e-05
"30948",1735.86161376329,0.915804862910207,0.212135985482193,9.86907650755991e-06,3.24068006893058e-05
"235472",41.0711873658179,-2.31927459358328,0.587478508993453,9.89613362133027e-06,3.24891933983296e-05
"100505179",51.9131735724524,1.27963814255461,0.303496507484885,9.93047652898796e-06,3.25954680349823e-05
"69639",854.489850613053,-0.736846578315639,0.169484283093531,9.945730293385e-06,3.26390553404118e-05
"15040",1642.7963541349,0.839980710602499,0.194121789974077,9.99928148146236e-06,3.28082816372713e-05
"12835",9407.89546267799,1.75341633441737,0.429162104384183,1.00023646228047e-05,3.28118847420047e-05
"93887",116.692826328083,-1.21269618934514,0.286330465407639,1.0042285202096e-05,3.29363044425887e-05
"11975",2059.6969165564,0.572192779723922,0.130637510353665,1.00445711969529e-05,3.29372667894526e-05
"72289",42980.9828037821,1.84736808487643,0.452778836634634,1.01371891848676e-05,3.32343786643914e-05
"66166",1679.30471860614,-1.46266622450048,0.352030800174928,1.01954827297387e-05,3.34188636768948e-05
"76547",298.704804787471,-0.962737610195313,0.223855477141847,1.01998111430402e-05,3.34264231154746e-05
"70397",723.625715148913,-0.719168942683589,0.166000979100057,1.02627188106602e-05,3.36259151516775e-05
"20319",1010.78338202029,1.29425782099671,0.307080847010189,1.0310870781094e-05,3.37769904897907e-05
"22232",1129.96041671227,0.663310637269892,0.15222716314527,1.03389860614023e-05,3.38623815325898e-05
"14226",69.4187878552075,-1.29028475664441,0.307439134542811,1.03993021262397e-05,3.40531822794657e-05
"100039805",15.216732287148,3.02854280974113,0.756845803652371,1.04278476421845e-05,3.41398933502296e-05
"215708",1131.85673581549,0.532076237010567,0.121489484121543,1.04329336130156e-05,3.41497807174549e-05
"241118",23.0945700870988,-3.01141472145908,0.752404316649437,1.04420487411918e-05,3.41728500676898e-05
"56360",1098.35011140601,0.778182353078619,0.179579165072473,1.04570044771204e-05,3.42150205872527e-05
"51897",1327.11042296478,0.81661220189148,0.18968244991895,1.05005970042344e-05,3.43445450093278e-05
"320871",133.570117302176,2.03122395567394,0.504391714804458,1.05007459453807e-05,3.43445450093278e-05
"224619",4321.99524773228,-0.70231174474498,0.161739972542646,1.0520591919708e-05,3.44026477611818e-05
