"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"19116",64282.9301424938,7.47959019656385,0.32455584120331,1.05525558637537e-118,2.76035417367804e-116
"192120",1390.25571164126,5.14206058571678,0.223014408895285,1.06873966796972e-118,2.76035417367804e-116
"18400",470.038350458878,6.05766005593902,0.262985589941925,4.1085218836886e-118,1.0448287190365e-115
"228543",5111.78380886524,5.39865585728502,0.234868355517042,4.58934953473591e-118,1.14942345165431e-115
"13867",6723.08552880558,4.60014486838483,0.200429965529197,1.1530166281712e-117,2.84468132293581e-115
"20528",783.438407944734,-5.1568883385778,0.22397037717228,1.38718119012725e-117,3.37207427541228e-115
"14421",4135.1617189662,2.833567994722,0.12357376997939,3.35646161010562e-117,8.0409145529052e-115
"17919",1813.7508141972,3.95275721624672,0.173526967418189,5.70102241925159e-116,1.34625572271755e-113
"27205",21238.309122159,6.04647937485124,0.26651915787917,4.12573492528333e-115,9.6054082133709e-113
"27375",3622.77905832048,4.84544137759523,0.213717952441989,5.74806530782858e-115,1.31965999358898e-112
"320405",2927.63109000245,3.88644057744722,0.171340173395279,7.10452114155762e-115,1.60873608862942e-112
"13388",6365.57750577234,-6.69413771289225,0.296306571844076,3.77278764726703e-114,8.42759186612486e-112
"19329",1137.84853584099,5.01318892870423,0.222036432270847,3.97849466870649e-114,8.7686022498291e-112
"667742",7794.40092441276,6.94553985374035,0.30817504950552,1.12210520207161e-113,2.44057881450574e-111
"380785",589.514267215901,-6.98976324800578,0.308952493185498,1.99157557757415e-112,4.27542133731178e-110
"12759",42590.2867424166,4.5229194970521,0.20140284573984,6.20303827535445e-112,1.31456695758473e-109
"268935",1121.06303198479,-6.04400317482176,0.270639522933805,1.0245114675061e-111,2.14369298200959e-109
"170722",760.730705494544,5.3491506582589,0.239274930369819,1.20177320228421e-111,2.48316387921974e-109
"110173",2425.23645631355,3.85629214436992,0.172607532089355,1.26291294341923e-111,2.57727789564443e-109
"432995",451.366223878431,5.73698307345796,0.257489904438706,2.02798528562629e-110,4.08812155748811e-108
"11513",1266.51563399745,-5.71107428187245,0.258610694971,5.45444520556741e-110,1.08628890660276e-107
"19414",1304.15965834604,-4.7769761253509,0.215900144788977,9.16025361775044e-110,1.80260705120732e-107
"11468",3126.96512170743,-8.83118036864185,0.398897957877924,1.30949064943765e-109,2.54657416884757e-107
"70031",982.04352027927,5.04236971458548,0.228383306590058,3.84154201095077e-109,7.38380109779259e-107
"15375",5474.29448776501,5.97245817116402,0.270703855532751,5.25752911836032e-109,9.98930532488461e-107
"76252",606.922250418349,4.5491166045401,0.206376109406366,1.56031119487416e-108,2.93090273309886e-106
"56312",4966.55809332221,6.18781609606561,0.281549825423574,3.15497369992544e-108,5.85974328761434e-106
"77220",692.787602548202,-7.44957070042567,0.339545802571184,4.48436957111655e-108,8.23629211228406e-106
"12725",4336.25566630856,3.58235721398287,0.163563070282893,2.19403647290662e-107,3.9854310875985e-105
"226866",1025.00433568229,-7.11228632327667,0.327969904847609,1.32318454048452e-106,2.37741744067491e-104
"230603",1646.66216767206,3.91705932034365,0.179664432450468,1.97470198094611e-106,3.50987352097195e-104
"72097",1232.22033006453,4.92096513228348,0.226088652865709,4.59832843879269e-106,8.08620947800458e-104
"26943",71640.1178277463,2.8673555402075,0.131653148135153,4.75859375776196e-106,8.27995313850581e-104
"13508",1422.2230896067,7.06763756124273,0.325138444119048,5.43422549808413e-106,9.35705702951362e-104
"16668",90849.7974252933,5.00059667956705,0.230268059696209,1.0976584172962e-105,1.87054573586662e-103
"228677",635.705398930144,5.93082239628199,0.273001823437763,1.1128729682107e-105,1.87712144535948e-103
"54420",966.303097246576,6.0960802774558,0.281756045683156,9.06157303589928e-105,1.51300810387288e-102
"110310",15921.6279681945,5.88404433514876,0.272690526620702,1.97063425677755e-104,3.2574584264533e-102
"21345",35704.3988413523,-6.75959100782729,0.313560672480699,2.80261811776645e-104,4.58685915709698e-102
"21990",5646.51481274107,7.23044438191438,0.336318100396163,8.79671814952206e-104,1.42558579423137e-101
"94214",1647.05503687783,-6.06333988948672,0.283771835576043,1.08665827711676e-102,1.74392828356699e-100
"277360",1938.50906205423,3.72722823947345,0.175480065893215,3.9094454283091e-101,6.21376278172591e-99
"50528",18663.3904315477,6.86935801369808,0.323845279454585,2.70290569896644e-100,4.25514582894431e-98
"234779",2824.61202676011,3.551635091592,0.168112967573709,4.33407111468169e-100,6.75869769110267e-98
"14042",5583.49082638103,-2.67869479240303,0.126613544887251,4.83374341059871e-100,7.46745594179408e-98
"237759",626.430777859357,-5.18397000841004,0.247269996922439,1.84324031960853e-99,2.82118171140083e-97
"330409",802.546283581979,5.02372633770741,0.239126758366771,3.96129231026907e-99,6.00735430171997e-97
"214531",2308.70086163251,5.62545341045248,0.267823412432582,4.23911287602501e-99,6.37023053097213e-97
"22354",3531.64220224848,3.64425213736367,0.173501563064267,5.68585424371385e-99,8.46731267104414e-97
"230815",1264.8301460756,4.04872645130162,0.193206182044473,1.28134364003923e-98,1.89112592587933e-96
"14726",2513.99138453765,-7.18260582822752,0.342114835816792,3.10710510805651e-98,4.54517233948443e-96
"11302",513.50724761889,-6.07834113927836,0.290508441020866,5.58389468269411e-98,8.09664728990647e-96
"270190",612.966805690686,-7.46770625975719,0.356325491437363,1.24446186916325e-97,1.7887786693277e-95
"21414",2080.32650090081,-4.04023917546959,0.194014013001602,1.00283096076635e-96,1.42903411909205e-94
"19280",9785.42586040747,-3.34695975863874,0.161721416798978,4.46757317305844e-96,6.3118790214236e-94
"18131",7794.69178008127,3.82225477257258,0.185165165983422,1.06267556530015e-95,1.48864636393317e-93
"18803",2378.84939772582,-2.3160752944377,0.112870694482956,2.08346622765686e-94,2.89409216329141e-92
"19267",1852.89272642046,-4.26387229375158,0.20822296881723,5.25942357880411e-94,7.24485597980267e-92
"72281",550.006698690468,5.08527638099159,0.248832427752333,1.12506799416577e-93,1.53697305318679e-91
"71706",714.300440640592,4.91282688570657,0.24105382177392,1.64554722241747e-93,2.22958160545581e-91
"16691",117708.356184351,3.60769802712796,0.178298936691901,4.00080390009872e-93,5.37669011940097e-91
"16854",12471.940551246,6.20586553090615,0.305233004730512,4.65668217714734e-93,6.20765777324561e-91
"83965",2183.8964699613,2.35505743195187,0.115635717318271,5.96298771625367e-93,7.88545495597385e-91
"114679",882.979248908251,-4.72050277556929,0.232432672297048,1.20276151229901e-92,1.57790855542085e-90
"20309",4030.31057595669,7.2532469923066,0.357942411851643,1.73889230619462e-92,2.26329841113362e-90
"208439",1675.03021976135,-7.36440815788001,0.365758133434685,5.02155896152957e-92,6.48487262766279e-90
"12971",1994.18120116387,6.7096723821394,0.333870583482906,5.39915299869674e-91,6.91844954019047e-89
"18830",2370.49432846165,-5.53433957066893,0.27652891733788,1.11792495787869e-90,1.42148458105652e-88
"26557",1751.14084808254,2.68849907575795,0.134341049731486,5.7748603978992e-90,7.28690399826518e-88
"15114",1425.20797764976,2.80551938920268,0.140836035686907,2.69119696398335e-89,3.37011256171551e-87
"12289",780.705123255503,-5.23535569315652,0.26207984473921,5.35327991025743e-89,6.65336217417709e-87
"68846",329.859577396075,4.75618214645785,0.23925049261661,5.51826833314059e-89,6.80723698110552e-87
"24058",718.08071218611,3.64131966764494,0.183261831421547,6.99193722593659e-89,8.56123869220236e-87
"14115",16246.9545789179,-5.82002174193815,0.293453557270635,1.27316867538462e-88,1.54746163265498e-86
